DB.ID,DB.REVISION,PUB.CitationKey,PUB.Title,PUB.Author,PUB.Year,PUB.Link,PUB.Citations,PUB.CitationsPerYear,META.Name,META.Description,META.SPECIFIC_NEW_USE_CASE,META.SCOPE,META.FOCUS,META.GOAL,META.TOPIC,META.SETTING,MAPPING.HAS_MAPPING,MAPPING.FROM,MAPPING.ORIGIN,MAPPING.TO,MAPPING.CONCEPT,MAPPING.REPRESENTATION,MAPPING.MEANING,MAPPING.LEVEL,OUTPUT.ACTIVATION,OUTPUT.TRANSITION_TO_FOREGROUND,OUTPUT.MODALITY,OUTPUT.ACCESS,OUTPUT.INFORMATION_BANDWIDTH,OUTPUT.TECH,OUTPUT.SIMILARITY,EVAL.HAS_EVALUATION,EVAL.SAMPLE_SIZE,EVAL.TIME_PERIOD,EVAL.SETTING,EVAL.STUDY_GROUP,EVAL.DEVSTAGE,EVAL.USABILITY,EVAL.COGNITIVE_LOAD,EVAL.CHANGED_BEHAVIOUR,META.PSYCHOLOGICAL_GROUNDING,OUTPUT.INFORMATION_PPP,OUTPUT.BACKGROUND_EMBEDDING,OUTPUT.CUSTOM_HARDWARE,OUTPUT.CUSTOM_HARDWARE_ISSUES,OUTPUT.REMOTE_UPDATABILITY,OUTPUT.TEMPORAL_CONTEXT,OUTPUT.UPDATE_DYNAMIC,OUTPUT.AESTHETIC_EMPHASIS
aek0zeerjsn,1,volanschiALanguageOnline2018,"A Language for Online State Processing of Binary Sensors, Applied to Ambient Assisted Living","Volanschi, Nic and Serpette, Bernard and Carteron, Adrien and Consel, Charles",2018,,9,3.6,,,,AS,,ASSISTED_LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afnr7eolv2l,1,kranzRoboticServiceCores2010,Robotic Service Cores for Ambient Assisted Living,"Kranz, Matthias and Linner, Thomas and Ellmann, Bernhard and Bittner, Andreas and Roalter, Luis",2010,,18,1.7,,,,,,ASSISTED_LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afnuyus1vl,1,camposSupportingDesignAmbient2015,Supporting the Design of an Ambient Assisted Living System Using Virtual Reality Prototypes,"Campos, José C. and Abade, Tiago and Silva, José Luís and Harrison, Michael D.",2015,,3,0.5,,,,,,ASSISTED_LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afslvp8vfoj,1,kumarVisibleLightCommunications2014,Visible Light Communications (VLC) for Ambient Assisted Living,"Kumar, Ambuj and Mihovska, Albena and Kyriazakos, Sofoklis and Prasad, Ramjee",2014,,25,3.8,,,,,,ASSISTED_LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afv6j0fe6m,1,alamWebObjectsBased2016,Web of Objects Based Ambient Assisted Living Framework for Emergency Psychiatric State Prediction,"Alam, MGR and Abedin, SF and Ameen, M Al and Hong, CS",2016,,11,2.4,,,,,,ASSISTED_LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afx5i3dk4yt,1,lyytinenUbiquitousComputing2002,Ubiquitous Computing,"Lyytinen, K and Yoo, Y",2002,,1055,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ag6qe1ubu6g,1,abdelmohsenEnergyPuppetAmbient2008,Energy Puppet: An Ambient Awareness Interface for Home Energy Consumption,"Abdelmohsen, Sherif and Do, Ellen Yi-Luen",2008,,12,1,Energy Puppet,"A pet-like puppet device attached to a home appliance whose eye color, arm movement and sound reflect the appliance's energy consumption level",YES,ADAIS,"PROTOTYPE,USECASE",INCREASE_AWARENESS,RESOURCES,HOME,,,,,,,,,CONTINUOUS,DEMAND_ATTENTION,"VISUAL,AUDIO,POS",HOUSEHOLD,MEDIUM,"LED,MOTOR,SPEAKER,SCREEN",ARTIFICIAL,NO,,,,,,,,,NONE,"PRESENCE,PUSH",PERIPHERAL_PLACEMENT,YES,NONE,NOT_MENTIONED,,,
ai8ky6mqb7,1,rockerAmbientAssistedLiving2012,Ambient Assisted Living: Chances and Challenges of Intelligent Homecare Solutions,"Röcker, C",2012,,2,0.2,,,,,,ASSISTED_LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akjolfvi19b,1,mallickEnergyEfficientRouting2016,Energy Efficient Routing Protocol for Ambient Assisted Living Environment with Multiple Sinks,"Mallick, Arpita and Chowdhury, Chandreyee and Saha, Anindita",2016,,1,0.2,,,,,,ASSISTED_LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
al2r6w67zio,1,davisSocialHueSubtle2015,Social Hue: A Subtle Awareness System for Connecting the Elderly and Their Caregivers,"Davis, Kadian and Jun Hu and Feijs, Loe and Owusu, Evans",2015,,18,3.3,Social Hue,A bidirectional Philips Hue light system that maps the elderly's and caregivers' activity and emotional states to ambient lighting colours and patterns,YES,ADAIS,"PROTOTYPE,USECASE,CONCEPT",INCREASE_AWARENESS,"SOCIAL,HEALTH",MEDICAL,,,,,,,,,CONTINUOUS,CHANGE_BLIND,VISUAL,FAMILY,HIGH,LED,FAMILIAR,YES,,,,,,,,,AWARENESS_CONSCIOUSNESS,PRESENCE,"PERIPHERAL_PLACEMENT,AUGMENTATION",NO,NA,NOT_MENTIONED,,,
amc3gaygtv,1,arthurSimulationTestHeadworn2017,Simulation Test of a Head-Worn Display with Ambient Vision Display for Unusual Attitude Recovery,"III, JTJ Arthur and Nicholas, SN and Shelton, KJ",2017,,3,0.9,Head-Worn Display with Ambient Vision Display (HWD-AV),A head-worn display with peripheral ambient vision displays rendering synthetic vision terrain to provide aircraft attitude awareness during unusual attitude recovery,YES,ADAIS,"EVAL,PROTOTYPE","INCREASE_AWARENESS,AID_IN_ACTIVITY",SAFETY,TRANSPORT,,,,,,,,,CONTINUOUS,MAKE_AWARE,VISUAL,PERSONAL,HIGH,SCREEN,ARTIFICIAL,YES,24,HOURS,IN_LAB,"USERS,EXPERTS",PROTOTYPE,"QUESTIONNAIRE,INTERVIEW,COMMENTS,TASK_PERFORMANCE",QUESTIONNAIRE,[NA],PERIPHERAL_ATTENTION,PRESENCE,PERIPHERAL_PLACEMENT,YES,OTHER,NOT_MENTIONED,,,
amfoctxv4ei,1,pousmanTaxonomyAmbientInformation2006,A Taxonomy of Ambient Information Systems: Four Patterns of Design,"Pousman, Zachary and Stasko, John",2006,,435,30,A Taxonomy of Ambient Information Systems,A conceptual taxonomy defining ambient information systems across four design dimensions and identifying four design patterns,NO,ADAIS,DEFTAX,INCREASE_AWARENESS,HEALTH,WORKPLACE,,,,,,,,,,,[NA],,,,,NO,,,,,,,,,NONE,,,NA,NA,NA,,,
apq4frbq9vf,1,kailaLivingWoodSelfhiding2012,Living Wood: A Self-Hiding Calm User Interface,"Kaila, Lasse and Raula, Henrik and Valtonen, Miika and Palovuori, Karri",2012,,5,0.6,Living Wood,LED lights behind wooden pannel that are invisible while off,,,PROTOTYPE,,,HOME,,,,,,,,,,,,,,,,YES,,,,,,INTERVIEW,,,,,,,,,,,
ar6xl694ula,1,olivierCrossmodalAttentionPublicPrivate2006,Crossmodal Attention in Public-Private Displays,"Olivier, P. and Gilroy, S.W. and Han Cao and Jackson, D.G. and Kray, C.",2006,,16,1.1,CrossBoard,A dense multi-user public information display that uses hierarchical flashing regions coordinated with audio/haptic crossmodal cues to help individuals locate their information,YES,ADAIS,PROTOTYPE,AID_IN_ACTIVITY,EVENTS,HOME,,,,,,,,,USER,MAKE_AWARE,"VISUAL,AUDIO,HAPTIC",PUBLIC,HIGH,SCREEN,ASSOCIATED,NO,,HOURS,IN_LAB,USERS,PROTOTYPE,"TASK_PERFORMANCE,COMMENTS",[NA],[NA],"PERIPHERAL_ATTENTION,SALIENCE,AWARENESS_CONSCIOUSNESS","PUSH,PRESENCE",,NO,NA,NOT_MENTIONED,,,
asetuuqvmb6,1,poupyrev2002ambient,Ambient Touch: Designing Tactile Interfaces for Handheld Devices,"Poupyrev, Ivan and Maruyama, Shigeaki and Rekimoto, Jun",2002,,472,25.5,Tactile Feedback,Tactile Feedback as a support for UI interactions,YES,"TUI,ADAIS",USECASE,"AID_IN_ACTIVITY,NOTIFICATION,INCREASE_AWARENESS","EVENTS,OTHER",WORKPLACE,,,,,,,,,USER,MAKE_AWARE,HAPTIC,PERSONAL,MEDIUM,MOTOR,ARTIFICIAL,YES,10,HOURS,IN_LAB,USERS,PROTOTYPE,QUESTIONNAIRE,[NA],[NA],"COGNITIVE_LOAD,PERIPHERAL_ATTENTION","PUSH,PRESENCE","INVISIBILITY,PERIPHERAL_PLACEMENT",YES,NOISE,NO,,,
asmlqlhy5mo,1,stefanWebPlatformArchitecture2018,Web Platform Architecture for Ambient Assisted Living,"Stefan, Ioana and Aldea, Constantin Lucian and Nechifor, Cosmin Septimiu",2018,,4,1.6,,,,,,ASSISTED_LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asxnvo1qtjd,1,consolvoFlowersRobotArmy2008,"Flowers or a Robot Army?: Encouraging Awareness \& Activity with Personal, Mobile Displays","Consolvo, Sunny and Klasnja, Predrag and McDonald, David W. and Avrahami, Daniel and Froehlich, Jon and LeGrand, Louis and Libby, Ryan and Mosher, Keith and Landay, James A.",2008,,471,37.7,UbiFit Garden,,,,PROTOTYPE,"BEHAVIOURAL_CHANGE,INCREASE_AWARENESS",HEALTH,"WORKPLACE,EDUCATION",,,,,,,,,,,,,,,,YES,28,MONTHS,,,,"INTERVIEW,QUESTIONNAIRE",,,,,,,,,,,
at1w74ae3dq,1,williamsExploringWearableAmbient2006,Exploring Wearable Ambient Displays For Social Awareness,"Williams, Amanda",2006,,50,3.4,Damage,A studded bracelet with LED studs representing individuals and group activity to provide ambient awareness of a social group's messaging activity,YES,ADAIS,PROTOTYPE,INCREASE_AWARENESS,SOCIAL,"SOCIAL,OTHER",,,,,,,,,EVENT,MAKE_AWARE,VISUAL,PERSONAL,MEDIUM,LED,FAMILIAR,NO,12,HOURS,IN_PRESENTATION,USERS,PROTOTYPE,COMMENTS,[NA],[NA],NONE,"PRESENCE,PUSH","PERIPHERAL_PLACEMENT,CAMOUFLAGE",YES,NONE,NOT_MENTIONED,,,
atq2hyt7cjs,1,vrsalovicComputerSystemAccessing2006,A Computer System for Accessing Ambient Display and Computing Resources in Wearable Environments,"Vrsalovic, Harvey and Hornyak, Matthew and Luo, Lu and Siewiorek, Daniel and Smailagic, Asim",2006,,1,0.1,Astro Remote Display System (RDS),A mobile computer system and network architecture that lets wearable devices offload display and CPU tasks onto ambient display and computing resources in the environment.,YES,ADAIS,"DEV,PROTOTYPE",AID_IN_ACTIVITY,OTHER,"WORKPLACE,EDUCATION",,,,,,,,,USER,USER_POLL,VISUAL,PERSONAL,HIGH,SCREEN,ARTIFICIAL,NO,,,,,,,,,NONE,PULL,,NO,NA,NOT_MENTIONED,,,
av7bwotbu7l,1,costanzaEyeqEyeglassPeripheral2006,Eye-q: Eyeglass Peripheral Display for Subtle Intimate Notifications,"Costanza, Enrico and Inverso, Samuel A. and Pavlov, Elan and Allen, Rebecca and Maes, Pattie",2006,,89,6.1,Eye-q,Eyeglasses with arrays of small LEDs at the ends of the arms that deliver subtle peripheral visual notification cues,YES,ADAIS,"PROTOTYPE,EVAL",NOTIFICATION,HEALTH,OTHER,,,,,,,,,EVENT,MAKE_AWARE,VISUAL,PERSONAL,LOW,LED,FAMILIAR,YES,20,HOURS,"IN_LAB,IN_SITU",USERS,PROTOTYPE,"TASK_PERFORMANCE,COMMENTS",[NA],[NA],"PERIPHERAL_ATTENTION,COGNITIVE_LOAD",PUSH,"PERIPHERAL_PLACEMENT,AUGMENTATION",YES,NONE,NOT_MENTIONED,,,
avdrfzv0x3h,1,cebanovActivityRecognitionAmbient2019,Activity Recognition for Ambient Assisted Living Using Off-the-Shelf Motion Sensing Input Devices,"Cebanov, Elena and Dobre, Ciprian and Gradinaru, Alexandru and Ciobanu, Radu-Ioan and Stanciu, Valeriu-Daniel",2019,,,0,,,,,,ASSISTED_LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avkhak49kd,1,bensonScalabilityNOCturneDisplay2014,Scalability of the NOCturne Display,"Benson, Jordan Riley and Ramarajan, Rajiv",2014,,,0,NOCturne Display,Visualization of Cyber Security domain spaces,,,,,HEALTH,WORKPLACE,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,
avn094474hn,1,smithWiltingFlower2008,Wilting Flower,"Smith, Carl",2008,,,0,Wilting Flower,Mechanical flower that blooms the less power is consumed,,ADAIS,,BEHAVIOURAL_CHANGE,RESOURCES,HOME,YES,Power Consumption,LOCAL,Posture and Bloom level of artificial plant,,,,,,,VISUAL,,LOW,,,,,,,,,,,,,,,,,,,,
awfi81hv19w,1,sharmaGovernanceAmbientAssisted2020,Governance of Ambient Assisted Living for Age Friendly Inclusive Cities,"Sharma, Somesh and Gianoli, Alberto and Geerlings, Harry",2020,,,0,,,,,,ASSISTED_LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ax9s25qtg7,1,staskoExplorationsExperiencesAmbient2007,Explorations and Experiences with Ambient Information Systems,"Stasko, J and Doo, M and Dorn, B and Plaue, C",2007,,9,0.7,AuraOrbs,Wall-mounted 42-inch LCD showing an abstract painting with colored spheres representing lab members' presence plus weather and traffic information,YES,ADAIS,"PROTOTYPE,USECASE,ISSUES",INCREASE_AWARENESS,"SOCIAL,ENVIRONMENT,EVENTS",WORKPLACE,,,,,,,,,CONTINUOUS,USER_POLL,VISUAL,GROUP,HIGH,SCREEN,ART,NO,,,,,,,,,NONE,PRESENCE,CAMOUFLAGE,YES,NONE,NOT_MENTIONED,,,
axe0nojfhql,1,fernandez-luqueAmbientAssistedLiving2014,Ambient Assisted Living System with Capacitive Occupancy Sensor,"Fernandez-Luque, Francisco J. and Martínez, Félix L. and Domènech, Ginés and Zapata, Juan and Ruiz, Ramón",2014,,15,2.3,,,,AS,,ASSISTED_LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ayhgehf9a9o,1,makoninElementsConsumptionAbstract2011,Elements of Consumption: An Abstract Visualization of Household Consumption,"Makonin, Stephen and Pasquier, Philippe and Bartram, Lyn",2011,,16,1.7,EoC Inverse,Abstract artificial-life fluid dynamics canvas where more household consumption causes less artificial life to be rendered,YES,ADAIS,"PROTOTYPE,USECASE",BEHAVIOURAL_CHANGE,RESOURCES,HOME,,,,,,,,,CONTINUOUS,CHANGE_BLIND,VISUAL,HOUSEHOLD,LOW,SCREEN,"ART,ASSOCIATED",NO,,,,,,,,,NONE,PRESENCE,CAMOUFLAGE,NO,NA,NOT_MENTIONED,,,
az9jexi7dqi,1,otjacquesAmbientWorkplaceRaising2006,An Ambient Workplace for Raising Awareness of Internet-Based Cooperation,"Otjacques, Benoît and McCall, Rod and Feltz, Fernand",2006,,5,0.3,Ambient Workplace,Desktop ambient display embedded in the Windows Active Desktop that visualises cooperation activity among co-workers using a maritime flags and beacons metaphor,YES,ADAIS,PROTOTYPE,INCREASE_AWARENESS,"SOCIAL,EVENTS",WORKPLACE,,,,,,,,,CONTINUOUS,USER_POLL,VISUAL,PERSONAL,MEDIUM,SCREEN,ARTIFICIAL,YES,21,HOURS,IN_PRESENTATION,USERS,PROTOTYPE,QUESTIONNAIRE,[NA],[NA],NONE,PRESENCE,PERIPHERAL_PLACEMENT,NO,NA,NOT_MENTIONED,,,
b0rwivbq4y,1,makoninInspiringEnergyConservation2013,Inspiring Energy Conservation Through Open Source Power Monitoring and In-Home Display,"Makonin, Stephen and Popowich, Fred and Moon, TaeJin and Gill, Bob",2013,,11,1.5,In-home display,A translucent housing with three coloured LEDs that indicate real-time household power consumption levels via colour and blinking for peak periods.,YES,"AS,ADAIS","PROTOTYPE,DEV",INCREASE_AWARENESS,RESOURCES,HOME,,,,,,,,,CONTINUOUS,MAKE_AWARE,VISUAL,HOUSEHOLD,MEDIUM,LED,ARTIFICIAL,NO,,,,,,,,,NONE,PRESENCE,PERIPHERAL_PLACEMENT,YES,NONE,NOT_MENTIONED,,,
b341148s2vd,1,davisEvaluatingHumanActivityBased2017,Evaluating Human Activity-Based Ambient Lighting Displays for Effective Peripheral Communication,"Davis, Kadian and Owusu, Evans and Marcenaro, Lucio and Feijs, Loe and Regazzoni, Carlo and Hu, Jun",2017,,9,2.6,"Ambient Lighting Display (Configurations X, Y, Z)",A Philips Hue desk lamp that conveys an elderly person's activity levels to caregivers through changes in lighting colour and brightness,YES,ADAIS,"EVAL,PROTOTYPE","INCREASE_AWARENESS,ASSISTED_LIVING",HEALTH,MEDICAL,,,,,,,,,CONTINUOUS,CHANGE_BLIND,VISUAL,PERSONAL,MEDIUM,LED,FAMILIAR,NO,14,HOURS,IN_LAB,USERS,PROTOTYPE,"QUESTIONNAIRE,HEURISTIC_EVALUATION,OBSERVATION,COMMENTS,TASK_PERFORMANCE",[NA],[NA],NONE,PRESENCE,"PERIPHERAL_PLACEMENT,AUGMENTATION",NO,NA,NOT_MENTIONED,,,
b4ottbdpnn,1,varoudisAmbientDisplaysInfluencing2011,Ambient Displays: Influencing Movement Patterns,"Varoudis, Tasos and Dalton, Sheep and Alexiou, Katerina and Zamenopoulos, Theodore",2011,,12,1.3,Untitled,Wall-embedded ambient display showing a live video link of a target space to act as a virtual window influencing movement,YES,ADAIS,"EVAL,USECASE",BEHAVIOURAL_CHANGE,OTHER,WORKPLACE,,,,,,,,,CONTINUOUS,CHANGE_BLIND,VISUAL,PUBLIC,HIGH,SCREEN,ARTIFICIAL,YES,800,WEEKS,IN_LAB,USERS,PROTOTYPE,OBSERVATION,[NA],OBJECTIVE,SPATIAL_OBJECT_BINDING,PRESENCE,"AUGMENTATION,CAMOUFLAGE",NO,NA,NOT_MENTIONED,,,
b4z9bnt82hi,1,aquilanoAmbientAssistedLiving2012,Ambient Assisted Living and Ageing: Preliminary Results of RITA Project,"Aquilano, M and Cavallo, F and Bonaccorsi, M",2012,,25,2.9,,,,,,ASSISTED_LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b5349qcy4yc,1,alemanAmbientDisplaysAssist2016,Ambient Displays to Assist Caregivers Monitoring the Sleep of People with Dementia,"Alemán, Carlos A. and Favela, Jesús",2016,,1,0.2,Door lights,Color lights on the door frame where the color represents the type of night event of a person with dementia,YES,"ADAIS,AS","USECASE,PROTOTYPE",INCREASE_AWARENESS,HEALTH,MEDICAL,,,,,,,,,EVENT,MAKE_AWARE,VISUAL,GROUP,MEDIUM,LED,AUGMENTATION,YES,12,HOURS,"IN_SITU,IN_PRESENTATION","USERS,EXPERTS",SIMULATION,INTERVIEW,[NA],[NA],NONE,"PUSH,PRESENCE",AUGMENTATION,YES,NONE,NOT_MENTIONED,,,
b5ihsdz8se7,1,visserDesigningSupportSocial2011,Designing to Support Social Connectedness: The Case of SnowGlobe,"Visser, Thomas and Vastenburg, Martijn and V. Keyson, David",2011,,47,4.9,KeyPing,"Boards between grandparent and grandchilren. GP puts his keys on board will activate the token representing the grandparent on the board of the grandchildren (lights up). Vice versa, grandchild can click token represent grandfather, and the token represent the grandchild on grandfathers side will light up (nudging each other).",YES,ADAIS,"PROTOTYPE,USECASE",INCREASE_AWARENESS,"SOCIAL,HEALTH","HOME,MEDICAL",,,,,,,,,OBJECT,MAKE_AWARE,VISUAL,FAMILY,MEDIUM,LED,ASSOCIATED,YES,40,HOURS,IN_SITU,USERS,PROTOTYPE,"INTERVIEW,QUESTIONNAIRE",[NA],[NA],NONE,"PUSH,PRESENCE",PERIPHERAL_PLACEMENT,YES,NONE,NOT_MENTIONED,,,
b5ssa9fawww,1,kimDesigningPersuasionAmbient2010,Designing for Persuasion: Toward Ambient Eco-Visualization for Awareness,"Kim, Tanyoung and Hong, Hwajung and Magerko, Brian",2010,,64,6.1,Coralog,A Mac OS desktop dashboard widget that depicts coral reefs and fish whose health changes based on computer idle/usage time to encourage energy conservation,YES,ADAIS,"PROTOTYPE,EVAL,USECASE","INCREASE_AWARENESS,BEHAVIOURAL_CHANGE","RESOURCES,HEALTH","HOME,WORKPLACE",,,,,,,,,USER,USER_POLL,VISUAL,PERSONAL,MEDIUM,SCREEN,"ASSOCIATED,ART",YES,47,WEEKS,IN_SITU,USERS,PROTOTYPE,"QUESTIONNAIRE,INTERVIEW[N=5],INTERVIEW",[NA],"SUBJECTIVE,OBJECTIVE",NONE,PULL,PERIPHERAL_PLACEMENT,NO,NA,NOT_MENTIONED,,,
b73tf2fr77v,1,venkateshSecureAmbientAssisted2012,A Secure Ambient Assisted Living (AAL) Environment: An Implementation View,"Venkatesh, Veeramuthu and Vaithyanathan, V and Kumar, M Prashant and Raj, Pethuru",2012,,8,0.9,,,,,,ASSISTED_LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b74efmvtxmt,1,zhangInfoLotusPeripheralVisualization2005,Info-Lotus: A Peripheral Visualization for Email Notification,"Zhang, Leizhong and Tu, Nan and Vronay, Dave",2005,,28,1.8,Info-Lotus,A peripheral on-screen flower visualization that grows to show incoming filtered emails of interest,YES,ADAIS,"PROTOTYPE,EVAL,USECASE","INCREASE_AWARENESS,NOTIFICATION","EVENTS,SOCIAL",WORKPLACE,,,,,,,,,EVENT,MAKE_AWARE,VISUAL,PERSONAL,HIGH,SCREEN,ART,YES,16,HOURS,IN_LAB,"USERS,EXPERTS",PROTOTYPE,INTERVIEW,DUAL_TASK,[NA],NONE,"PRESENCE,PUSH","PERIPHERAL_PLACEMENT,CAMOUFLAGE",NO,NA,NOT_MENTIONED,,,
b7c88iile5c,1,foggHandJiveDeviceInterpersonal1998,HandJive: A Device for Interpersonal Haptic Entertainment,"Fogg, BJ and Cutler, Lawrence D and Arnold, Perry and Eisbach, Chris",1998,,129,5.7,HandJive,Haptics,YES,ADAIS,PROTOTYPE,OTHER,SOCIAL,EDUCATION,,,,,,,,,USER,,HAPTIC,PARTNERSHIP,MEDIUM,MOTOR,ARTIFICIAL,NO,10,HOURS,"IN_LAB,IN_SITU",USERS,WOZ,"COMMENTS,OBSERVATION",[NA],[NA],NONE,PUSH,PERIPHERAL_PLACEMENT,YES,"FABRICATION,FAILURE",NOT_MENTIONED,,,
b7xos3arm1t,1,elsholzPersonalizableAmbientFixture2008,Personalizable Ambient Fixture,"Elsholz, J.-P. and Hermann, M. and de Melo, G. and Weber, M.",2008,,2,0.2,IFeel mouse,A Logitech force feedback mouse using TouchSense Technology to deliver haptic vibration notifications,YES,ADAIS,"PROTOTYPE,DEV,EVAL",INCREASE_AWARENESS,EVENTS,WORKPLACE,,,,,,,,,EVENT,MAKE_AWARE,HAPTIC,PERSONAL,MEDIUM,MOTOR,ARTIFICIAL,YES,48,HOURS,IN_LAB,USERS,PROTOTYPE,"QUESTIONNAIRE,HEURISTIC_EVALUATION,TASK_PERFORMANCE",DUAL_TASK,[NA],"AWARENESS_CONSCIOUSNESS,SALIENCE",PUSH,AUGMENTATION,YES,NONE,NO,,,
b85oz65jh3j,1,costaMemorySupportAmbient2009,Memory Support in Ambient Assisted Living,"Costa, Ricardo and Novais, Paulo and Costa, Ângelo and Neves, José",2009,,16,1.4,,,,,,ASSISTED_LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b8me2i4j4co,1,kasaharaExTouchSpaIally2013,exTouch : Spa t Ially - A Ware Embodied M Anipulation of A Ctuated O Bjects M Ediated by Augmented Reality,"Kasahara, Shunichi and Heun, Valentin",2013,,53,7.1,exTouch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b8u51ie7qb,1,tentoriSmartEnvironmentChildren2015,A Smart Environment for Children with Autism,"Tentori, Monica and Escobedo, Lizbeth and Balderas, Gabriela",2015,,29,5.3,Mobis,"An augmented reality system that superimposes digital content (text, audio, shapes) on top of physical objects via a smartphone/tablet visor for cognitive training",YES,ADAIS,"PROTOTYPE,DEV,USECASE",AID_IN_ACTIVITY,HEALTH,"EDUCATION,MEDICAL",,,,,,,,,OBJECT,USER_POLL,VISUAL,PERSONAL,MEDIUM,SCREEN,ARTIFICIAL,YES,19,MONTHS,IN_SITU,"USERS,EXPERTS",PROTOTYPE,INTERVIEW,[NA],"OBJECTIVE,SUBJECTIVE",NONE,PULL,AUGMENTATION,NO,NA,NOT_MENTIONED,,,
b99ivzkv3m,1,spinsanteDataManagementAmbient2015,Data Management in Ambient Assisted Living Platforms Approaching IoT: A Case Study,"Spinsante, Susanna and Gambi, Ennio and Montanini, Laura and Raffaeli, Laura",2015,,9,1.6,,,,IOT,,ASSISTED_LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9kwzhu3vtf,1,fogartyPortraitGeneratingPersonal2003,Portrait: Generating Personal Presentations.,"Fogarty, James and Forlizzi, Jodi and Hudson, Scott E",2003,,1,0.1,Portrait,A system that automatically searches the web for photos and logos to generate personal presentations of individuals and organizations for use in communication and ambient information displays.,YES,ADAIS,"DEV,EVAL,USECASE",INCREASE_AWARENESS,"SOCIAL,EVENTS",WORKPLACE,,,,,,,,,EVENT,USER_POLL,VISUAL,PERSONAL,HIGH,SCREEN,ASSOCIATED,YES,2,HOURS,IN_LAB,USERS,PROTOTYPE,TASK_PERFORMANCE,[NA],[NA],NONE,PRESENCE,PERIPHERAL_PLACEMENT,NO,NA,NOT_MENTIONED,,,
baar3cjua57,1,hristovaContextawareServicesAmbient2008,Context-Aware Services for Ambient Assisted Living: A Case-Study,"Hristova, Ana and Bernardos, Ana M. and Casar, Jose R.",2008,,66,5.3,,,,,,ASSISTED_LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baip107aiwq,1,lockenAmbiCarVehicleAmbient2013,AmbiCar: Towards an in-Vehicle Ambient Light Display,"Löcken, Andreas and Müller, Heiko and Heuten, Wilko and Boll, Susanne",2013,,13,1.7,AmbiCar,In-vehicle ambient light display using LEDs to continuously convey the criticality of the current driving situation via peripheral vision,YES,ADAIS,"PROTOTYPE,EVAL",INCREASE_AWARENESS,HEALTH,TRANSPORT,,,,,,,,,CONTINUOUS,MAKE_AWARE,VISUAL,PERSONAL,MEDIUM,LED,ARTIFICIAL,NO,58,HOURS,IN_PRESENTATION,USERS,SIMULATION,"QUESTIONNAIRE,COMMENTS",[NA],[NA],"PERIPHERAL_ATTENTION,COGNITIVE_LOAD",PRESENCE,PERIPHERAL_PLACEMENT,YES,NONE,NOT_MENTIONED,,,
banibzhkjuh,1,carswellNOCTURNALAmbientAssisted2011,The NOCTURNAL Ambient Assisted Living System,"Carswell, W and Augusto, J and Mulvenna, M",2011,,9,0.9,,,,,,ASSISTED_LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bap6kawqyqe,1,leeRealtimeFeedbackImproving2014,Real-Time Feedback for Improving Medication Taking,"Lee, Matthew L. and Dey, Anind K.",2014,,66,10.2,Untitled,,,,,,HEALTH,"MEDICAL,HOME",,,,,,,,,,,VISUAL,,,SCREEN,,YES,,,,,,"INTERVIEW,QUESTIONNAIRE",,,,,,,,,,,
bc8vqehz398,1,huchHandbookAmbientAssisted2012,"Handbook of Ambient Assisted Living: Technology for Healthcare, Rehabilitation and Well-Being-Volume 11 of Ambient Intelligence and Smart Environments","Huch, M and Kameas, A and Maitland, J and McCullagh, PJ",2012,,16,1.9,,,,,,ASSISTED_LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
